time,url,dcl,load,fcp,lcp,cls,fid
1616278588117,http://localhost:3000/,3125.319999991916,6017.9799999750685,3145.8699999784585,3223.634,0.11391130073991401,0
1616278594527,http://localhost:3000/,3122.540000011213,5112.185000005411,3143.8400000042748,3217.35,0.11391130073991401,3.850000008242205
1634968487263,http://localhost:3000/,3179.5999999940395,4760.800000011921,3230.300000011921,3230.3,0.10452186805040771,1.7999999821186066
1634968506406,http://localhost:3000/,3119.300000011921,4698.4000000059605,3127.2000000178814,3127.2,0.22070844686648503,1.9000000059604645
1634968551993,http://localhost:3000/,3164.800000011921,4722.800000011921,3181,0,0.22070844686648503,437.80000001192093
1634968562571,http://localhost:3000/,3085.7999999821186,5610.799999982119,5718,0,0,0.699999988079071
1634968588670,http://localhost:3000/,3105.0999999940395,4592.799999982119,3110.699999988079,3110.699,0.22070844686648503,0
1634968604963,http://localhost:3000/,3099,4405.800000011921,3106.300000011921,3106.3,0.22070844686648503,0
1634968635887,http://localhost:3000/,3135.4000000059605,5397.5,19802.09999999404,19802.099,0,0
1634969593853,http://localhost:3000/,3158.600000023842,5655.4000000059605,8606.40000000596,8606.4,0,0
1634970436540,http://localhost:3000/,3081,4647.699999988079,3085.5,3085.5,0.10452186805040771,3.7000000178813934
1634970465138,http://localhost:3000/,1757.5999999940395,3514.899999976158,1763.5999999940395,1763.599,0.10452186805040771,0.4000000059604645
1634970487178,http://localhost:3000/,1779.5999999940395,3480.199999988079,2532.7999999821186,2532.799,0.10452186805040771,0.4000000059604645
1634970527906,http://localhost:3000/,1790.0999999940395,3175.2999999821186,1799,1799,0.10452186805040771,0
1634970582764,http://localhost:3000/,1774.5,4257.5,12573.90000000596,12573.9,0,0
1634972450312,http://localhost:3000/,1771,4246.5,46899.5,46899.5,0,0.30000001192092896
1634972487751,http://localhost:3000/,1742.7000000178814,4064.2000000178814,1710.1000000238419,0,0.10452186805040771,821
1634972509864,http://localhost:3000/,1794.4000000059605,4065.699999988079,9434.799999982119,9434.799,0,0
1634973301298,http://localhost:3000/,1800.9000000059605,4846,5951.9000000059605,5951.9,0.10452186805040771,0
1634973410372,http://localhost:3000/,1768.0999999940395,4707.899999976158,4004.5999999940395,4004.599,0.10452186805040771,0
1634973454332,http://localhost:3000/,1675.9000000059605,2729.5,1668.300000011921,1668.3,0.10452186805040771,0
1634973470265,http://localhost:3000/,1665.300000011921,3914.5,9507.90000000596,9507.9,0,0
1634973484777,http://localhost:3000/,1668.300000011921,2711.5,1660.4000000059605,1660.4,0.10452186805040771,0
1634974210338,http://localhost:3000/,1729.800000011921,2751.199999988079,5777.199999988079,5777.199,0,0
1634974710847,http://localhost:3000/,1695.0999999940395,3328.5999999940395,2190.5999999940395,2190.599,0.10560723750042603,0
1634974755711,http://localhost:3000/,1647.4000000059605,3738.9000000059605,1763.9000000059605,1763.9,0.10452186805040771,0
1634974868427,http://localhost:3000/,2344.9000000059605,3960.699999988079,5479.199999988079,5479.199,0,0
1634975002980,http://localhost:3000/,1680.699999988079,1725.0999999940395,1676.4000000059605,0,0.10452186805040771,725
1634975046895,http://localhost:3000/,1259.4000000059605,2971.199999988079,1270.4000000059605,2052.599,0.049026425591098745,0
1634975072195,http://localhost:3000/,1728.5,2896.9000000059605,2219.2999999821186,2219.299,0.10452186805040771,0
1634975114649,http://localhost:3000/,359.2000000178814,1711.5,646.2000000178814,646.2,0.049026425591098745,0
1634977046587,http://localhost:3000/,282.69999998807907,340.2999999821186,281.40000000596046,281.4,0.10452186805040771,1.699999988079071
1634977050127,http://localhost:3000/,265,332.40000000596046,343.10000002384186,343.1,0.8285998888065234,0
1634977054210,http://localhost:3000/,151.59999999403954,317.80000001192093,272,748.4,1.0461721081947206,0
1634977272029,http://localhost:3000/,280.89999997615814,343.5,278.7999999821186,278.799,0.4628956325359312,0.29999998211860657
1634977304489,http://localhost:3000/,367.19999998807907,3653.0999999940395,30329.09999999404,30329.099,0,0
1634977314529,http://localhost:3000/,310.30000001192093,351.80000001192093,307.5,307.5,0.10452186805040771,0.3999999761581421
1634977331811,http://localhost:3000/,437.5,2712.5999999940395,540.7000000178814,2712,0,0
1634977434916,http://localhost:3000/,479.2999999821186,3368.5999999940395,6541.399999976158,6541.399,0,0
1634977480072,http://localhost:3000/,179.19999998807907,344.69999998807907,297.2999999821186,0,0.36100815418828763,0.4000000059604645
1634977502479,http://localhost:3000/,273.19999998807907,276.7999999821186,270.5,270.5,0.25648628613787994,0.30000001192092896
1634977520366,http://localhost:3000/,178.7000000178814,284.40000000596046,294.5,294.5,0.36100815418828763,0.30000001192092896
1634977536203,http://localhost:3000/,279,489.69999998807907,476.7999999821186,6406.799,0.10452186805040771,0
1634977679694,http://localhost:3000/,393.5,471.59999999403954,422.5,422.5,0.10452186805040771,0
1634978044033,http://localhost:3000/,256,422.90000000596046,411.7000000178814,0,0.10452186805040771,78.19999998807907
1634978057741,http://localhost:3000/,264.59999999403954,268.69999998807907,262.5,262.5,0.36100815418828763,0.5
1634978088720,http://localhost:3000/,261.09999999403954,326.40000000596046,336.2999999821186,336.299,0.36100815418828763,0.29999998211860657
1634978117462,http://localhost:3000/,257.09999999403954,325.5,342.7000000178814,342.7,0.36100815418828763,0.4000000059604645
1634978643307,http://localhost:3000/,318.09999999403954,319.30000001192093,316.80000001192093,316.8,0,0.30000001192092896
1634978651567,http://localhost:3000/,275.40000000596046,276.09999999403954,274.59999999403954,274.599,0.25648628613787994,0.4000000059604645
1634978681275,http://localhost:3000/,241.2000000178814,346.90000000596046,16828.09999999404,22201.5,0,0
1635002481538,http://localhost:3000/,526.7000000178814,11210,4247.0999999940395,4247.099,0,0.9000000059604645
